Verb,Tense,Form,Translation,Difficulty
elfogad,Future indefinite tense,fogsz elfogadni,You will accept,advanced
elfogad,Future indefinite tense,fog elfogadni,He will accept,advanced
elfogad,Future indefinite tense,fogunk elfogadni,We will accept,advanced
elfogad,Future indefinite tense,fogtok elfogadni,You all will accept,advanced
elfogad,Future indefinite tense,fognak elfogadni,They will accept,advanced
elfogad,Future definite tense,fogom elfogadni,I will accept,advanced
elfogad,Future definite tense,fogod elfogadni,You will accept,advanced
elfogad,Future definite tense,fogja elfogadni,He will accept,advanced
elfogad,Future definite tense,fogjuk elfogadni,We will accept,advanced
elfogad,Future definite tense,fogjátok elfogadni,You all will accept,advanced
elfogad,Future definite tense,fogják elfogadni,They will accept,advanced
elfogad,Subjunctive present definite tense,elfogadjam,I accept,advanced
elfogad,Subjunctive present definite tense,elfogadd,You accept,advanced
elfogad,Subjunctive present definite tense,elfogadja,He accepts,advanced
elfogad,Subjunctive present definite tense,elfogadjuk,We accept,advanced
elfogad,Subjunctive present definite tense,elfogadjátok,You all accept,advanced
elfogad,Subjunctive present definite tense,elfogadják,They accept,advanced
elfogad,Subjunctive present indefinite tense,elfogadjak,I accept,advanced
elfogad,Subjunctive present indefinite tense,elfogadj,You accept,advanced
elfogad,Subjunctive present indefinite tense,elfogadjon,He accepts,advanced
elfogad,Subjunctive present indefinite tense,elfogadjunk,We accept,advanced
elfogad,Subjunctive present indefinite tense,elfogadjatok,You all accept,advanced
elfogad,Subjunctive present indefinite tense,elfogadjanak,They accept,advanced
elfogad,Conjugated infinitives,elfogadnom,I accept,advanced
elfogad,Conjugated infinitives,elfogadnod,You accept,advanced
elfogad,Conjugated infinitives,elfogadnia,He accepts,advanced
elfogad,Conjugated infinitives,elfogadnunk,We accept,advanced
elfogad,Conjugated infinitives,elfogadnotok,You all accept,advanced
elfogad,Conjugated infinitives,elfogadniuk,They accept,advanced
hozzáad,Present indefinite tense,hozzáadok,I add,beginner
hozzáad,Present indefinite tense,hozzáadsz,You add,beginner
hozzáad,Present indefinite tense,hozzáad,He adds,beginner
hozzáad,Present indefinite tense,hozzáadunk,We add,beginner
hozzáad,Present indefinite tense,hozzáadtok,You all add,beginner
hozzáad,Present indefinite tense,hozzáadnak,They add,beginner
hozzáad,Present definite tense,hozzáadom,I add,beginner
hozzáad,Present definite tense,hozzáadod,You add,beginner
hozzáad,Present definite tense,hozzáadja,He adds,beginner
hozzáad,Present definite tense,hozzáadjuk,We add,beginner
hozzáad,Present definite tense,hozzáadjátok,You all add,beginner
hozzáad,Present definite tense,hozzáadják,They add,beginner
hozzáad,Past indefinite tense,hozzáadtam,I added,intermediate
hozzáad,Past indefinite tense,hozzáadtál,You added,intermediate
hozzáad,Past indefinite tense,hozzáadott,He added,intermediate
hozzáad,Past indefinite tense,hozzáadtunk,We added,intermediate
hozzáad,Past indefinite tense,hozzáadtatok,You all added,intermediate
hozzáad,Past indefinite tense,hozzáadtak,They added,intermediate
hozzáad,Past definite tense,hozzáadtam,I added,intermediate
hozzáad,Past definite tense,hozzáadtad,You added,intermediate
hozzáad,Past definite tense,hozzáadta,He added,intermediate
hozzáad,Past definite tense,hozzáadtuk,We added,intermediate
hozzáad,Past definite tense,hozzáadtátok,You all added,intermediate
hozzáad,Past definite tense,hozzáadták,They added,intermediate
hozzáad,Conditional present indefinite tense,hozzáadnék,I would add,intermediate
hozzáad,Conditional present indefinite tense,hozzáadnál,You would add,intermediate
hozzáad,Conditional present indefinite tense,hozzáadna,He would add,intermediate
hozzáad,Conditional present indefinite tense,hozzáadnánk,We would add,intermediate
hozzáad,Conditional present indefinite tense,hozzáadnátok,You all would add,intermediate
hozzáad,Conditional present indefinite tense,hozzáadnának,They would add,intermediate
hozzáad,Conditional present definite tense,hozzáadnám,I would add,intermediate
hozzáad,Conditional present definite tense,hozzáadnád,You would add,intermediate
hozzáad,Conditional present definite tense,hozzáadná,He would add,intermediate
hozzáad,Conditional present definite tense,hozzáadnánk,We would add,intermediate
hozzáad,Conditional present definite tense,hozzáadnátok,You all would add,intermediate
hozzáad,Conditional present definite tense,hozzáadnák,They would add,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtam volna,I would have added,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtál volna,You would have added,intermediate
hozzáad,Conditional past indefinite tense,hozzáadott volna,He would have added,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtunk volna,We would have added,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtatok volna,You all would have added,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtak volna,They would have added,intermediate
hozzáad,Conditional past definite tense,hozzáadtam volna,I would have added,intermediate
hozzáad,Conditional past definite tense,hozzáadtad volna,You would have added,intermediate
hozzáad,Conditional past definite tense,hozzáadta volna,He would have added,intermediate
hozzáad,Conditional past definite tense,hozzáadtuk volna,We would have added,intermediate
hozzáad,Conditional past definite tense,hozzáadtátok volna,You all would have added,intermediate
hozzáad,Conditional past definite tense,hozzáadták volna,They would have added,intermediate
hozzáad,Future indefinite tense,fogok hozzáadni,I will add,advanced
hozzáad,Future indefinite tense,fogsz hozzáadni,You will add,advanced
hozzáad,Future indefinite tense,fog hozzáadni,He will add,advanced
hozzáad,Future indefinite tense,fogunk hozzáadni,We will add,advanced
hozzáad,Future indefinite tense,fogtok hozzáadni,You all will add,advanced
hozzáad,Future indefinite tense,fognak hozzáadni,They will add,advanced
hozzáad,Future definite tense,fogom hozzáadni,I will add,advanced
hozzáad,Future definite tense,fogod hozzáadni,You will add,advanced
hozzáad,Future definite tense,fogja hozzáadni,He will add,advanced
hozzáad,Future definite tense,fogjuk hozzáadni,We will add,advanced
hozzáad,Future definite tense,fogjátok hozzáadni,You all will add,advanced
hozzáad,Future definite tense,fogják hozzáadni,They will add,advanced
hozzáad,Subjunctive present definite tense,hozzáadjam,I add,advanced
hozzáad,Subjunctive present definite tense,hozzáadd,You add,advanced
hozzáad,Subjunctive present definite tense,hozzáadja,He adds,advanced
hozzáad,Subjunctive present definite tense,hozzáadjuk,We add,advanced
hozzáad,Subjunctive present definite tense,hozzáadjátok,You all add,advanced
hozzáad,Subjunctive present definite tense,hozzáadják,They add,advanced
hozzáad,Subjunctive present indefinite tense,hozzáadjak,I add,advanced
hozzáad,Subjunctive present indefinite tense,hozzáadj,You add,advanced
hozzáad,Subjunctive present indefinite tense,hozzáadjon,He adds,advanced
hozzáad,Subjunctive present indefinite tense,hozzáadjunk,We add,advanced
hozzáad,Subjunctive present indefinite tense,hozzáadjatok,You all add,advanced
hozzáad,Subjunctive present indefinite tense,hozzáadjanak,They add,advanced
hozzáad,Conjugated infinitives,hozzáadnom,I add,advanced
hozzáad,Conjugated infinitives,hozzáadnod,You add,advanced
hozzáad,Conjugated infinitives,hozzáadnia,He adds,advanced
hozzáad,Conjugated infinitives,hozzáadnunk,We add,advanced
hozzáad,Conjugated infinitives,hozzáadnotok,You all add,advanced
hozzáad,Conjugated infinitives,hozzáadniuk,They add,advanced
megenged,Present indefinite tense,megengedek,I allow,beginner
megenged,Present indefinite tense,megengedsz,You allow,beginner
megenged,Present indefinite tense,megenged,He allows,beginner
megenged,Present indefinite tense,megengedünk,We allow,beginner
megenged,Present indefinite tense,megengedtek,You all allow,beginner
megenged,Present indefinite tense,megengednek,They allow,beginner
megenged,Present definite tense,megengedem,I allow,beginner
megenged,Present definite tense,megengeded,You allow,beginner
megenged,Present definite tense,megengedi,He allows,beginner
megenged,Present definite tense,megengedjük,We allow,beginner
megenged,Present definite tense,megengeditek,You all allow,beginner
megenged,Present definite tense,megengedik,They allow,beginner
megenged,Past indefinite tense,megengedtem,I allowed,intermediate
megenged,Past indefinite tense,megengedtél,You allowed,intermediate
megenged,Past indefinite tense,megengedett,He allowed,intermediate
megenged,Past indefinite tense,megengedtünk,We allowed,intermediate
megenged,Past indefinite tense,megengedtetek,You all allowed,intermediate
megenged,Past indefinite tense,megengedtek,They allowed,intermediate
megenged,Past definite tense,megengedtem,I allowed,intermediate
megenged,Past definite tense,megengedted,You allowed,intermediate
megenged,Past definite tense,megengedte,He allowed,intermediate
megenged,Past definite tense,megengedtük,We allowed,intermediate
megenged,Past definite tense,megengedtétek,You all allowed,intermediate
megenged,Past definite tense,megengedték,They allowed,intermediate
megenged,Conditional present indefinite tense,megengednék,I would allow,intermediate
megenged,Conditional present indefinite tense,megengednél,You would allow,intermediate
megenged,Conditional present indefinite tense,megengedne,He would allow,intermediate
megenged,Conditional present indefinite tense,megengednénk,We would allow,intermediate
megenged,Conditional present indefinite tense,megengednétek,You all would allow,intermediate
megenged,Conditional present indefinite tense,megengednének,They would allow,intermediate
megenged,Conditional present definite tense,megengedném,I would allow,intermediate
megenged,Conditional present definite tense,megengednéd,You would allow,intermediate
megenged,Conditional present definite tense,megengedné,He would allow,intermediate
megenged,Conditional present definite tense,megengednénk,We would allow,intermediate
megenged,Conditional present definite tense,megengednétek,You all would allow,intermediate
megenged,Conditional present definite tense,megengednék,They would allow,intermediate
megenged,Conditional past indefinite tense,megengedtem volna,I would have allowed,intermediate
megenged,Conditional past indefinite tense,megengedtél volna,You would have allowed,intermediate
megenged,Conditional past indefinite tense,megengedett volna,He would have allowed,intermediate
megenged,Conditional past indefinite tense,megengedtünk volna,We would have allowed,intermediate
megenged,Conditional past indefinite tense,megengedtetek volna,You all would have allowed,intermediate
megenged,Conditional past indefinite tense,megengedtek volna,They would have allowed,intermediate
megenged,Conditional past definite tense,megengedtem volna,I would have allowed,intermediate
megenged,Conditional past definite tense,megengedted volna,You would have allowed,intermediate
megenged,Conditional past definite tense,megengedte volna,He would have allowed,intermediate
megenged,Conditional past definite tense,megengedtük volna,We would have allowed,intermediate
megenged,Conditional past definite tense,megengedtétek volna,You all would have allowed,intermediate
megenged,Conditional past definite tense,megengedték volna,They would have allowed,intermediate
megenged,Future indefinite tense,fogok megengedni,I will allow,advanced
megenged,Future indefinite tense,fogsz megengedni,You will allow,advanced
megenged,Future indefinite tense,fog megengedni,He will allow,advanced
megenged,Future indefinite tense,fogunk megengedni,We will allow,advanced
megenged,Future indefinite tense,fogtok megengedni,You all will allow,advanced
megenged,Future indefinite tense,fognak megengedni,They will allow,advanced
megenged,Future definite tense,fogom megengedni,I will allow,advanced
megenged,Future definite tense,fogod megengedni,You will allow,advanced
megenged,Future definite tense,fogja megengedni,He will allow,advanced
megenged,Future definite tense,fogjuk megengedni,We will allow,advanced
megenged,Future definite tense,fogjátok megengedni,You all will allow,advanced
megenged,Future definite tense,fogják megengedni,They will allow,advanced
megenged,Subjunctive present definite tense,megengedjem,I allow,advanced
megenged,Subjunctive present definite tense,megengedd,You allow,advanced
megenged,Subjunctive present definite tense,megengedje,He allows,advanced
megenged,Subjunctive present definite tense,megengedjük,We allow,advanced
megenged,Subjunctive present definite tense,megengedjétek,You all allow,advanced
megenged,Subjunctive present definite tense,megengedjék,They allow,advanced
megenged,Subjunctive present indefinite tense,megengedjek,I allow,advanced
megenged,Subjunctive present indefinite tense,megengedj,You allow,advanced
megenged,Subjunctive present indefinite tense,megengedjen,He allows,advanced
megenged,Subjunctive present indefinite tense,megengedjünk,We allow,advanced
megenged,Subjunctive present indefinite tense,megengedjetek,You all allow,advanced
megenged,Subjunctive present indefinite tense,megengedjenek,They allow,advanced
megenged,Conjugated infinitives,megengednem,I allow,advanced
megenged,Conjugated infinitives,megengedned,You allow,advanced
megenged,Conjugated infinitives,megengednie,He allows,advanced
megenged,Conjugated infinitives,megengednünk,We allow,advanced
megenged,Conjugated infinitives,megengednetek,You all allow,advanced
megenged,Conjugated infinitives,megengedniük,They allow,advanced
válaszol,Present indefinite tense,válaszolok,I answer,beginner
válaszol,Present indefinite tense,válaszolsz,You answer,beginner
válaszol,Present indefinite tense,válaszol,He answers,beginner
válaszol,Present indefinite tense,válaszolunk,We answer,beginner
válaszol,Present indefinite tense,válaszoltok,You all answer,beginner
válaszol,Present indefinite tense,válaszolnak,They answer,beginner
válaszol,Present definite tense,válaszolom,I answer,beginner
válaszol,Present definite tense,válaszolod,You answer,beginner
válaszol,Present definite tense,válaszolja,He answers,beginner
válaszol,Present definite tense,válaszoljuk,We answer,beginner
válaszol,Present definite tense,válaszoljátok,You all answer,beginner
válaszol,Present definite tense,válaszolják,They answer,beginner
válaszol,Past indefinite tense,válaszoltam,I answered,intermediate
válaszol,Past indefinite tense,válaszoltál,You answered,intermediate
válaszol,Past indefinite tense,válaszolt,He answered,intermediate
válaszol,Past indefinite tense,válaszoltunk,We answered,intermediate
válaszol,Past indefinite tense,válaszoltatok,You all answered,intermediate
válaszol,Past indefinite tense,válaszoltak,They answered,intermediate
válaszol,Past definite tense,válaszoltam,I answered,intermediate
válaszol,Past definite tense,válaszoltad,You answered,intermediate
válaszol,Past definite tense,válaszolta,He answered,intermediate
válaszol,Past definite tense,válaszoltuk,We answered,intermediate
válaszol,Past definite tense,válaszoltátok,You all answered,intermediate
válaszol,Past definite tense,válaszolták,They answered,intermediate
válaszol,Conditional present indefinite tense,válaszolnék,I would answer,intermediate
válaszol,Conditional present indefinite tense,válaszolnál,You would answer,intermediate
válaszol,Conditional present indefinite tense,válaszolna,He would answer,intermediate
válaszol,Conditional present indefinite tense,válaszolnánk,We would answer,intermediate
válaszol,Conditional present indefinite tense,válaszolnátok,You all would answer,intermediate
válaszol,Conditional present indefinite tense,válaszolnának,They would answer,intermediate
válaszol,Conditional present definite tense,válaszolnám,I would answer,intermediate
válaszol,Conditional present definite tense,válaszolnád,You would answer,intermediate
válaszol,Conditional present definite tense,válaszolná,He would answer,intermediate
válaszol,Conditional present definite tense,válaszolnánk,We would answer,intermediate
válaszol,Conditional present definite tense,válaszolnátok,You all would answer,intermediate
válaszol,Conditional present definite tense,válaszolnák,They would answer,intermediate
válaszol,Conditional past indefinite tense,válaszoltam volna,I would have answered,intermediate
válaszol,Conditional past indefinite tense,válaszoltál volna,You would have answered,intermediate
válaszol,Conditional past indefinite tense,válaszolt volna,He would have answered,intermediate
válaszol,Conditional past indefinite tense,válaszoltunk volna,We would have answered,intermediate
válaszol,Conditional past indefinite tense,válaszoltatok volna,You all would have answered,intermediate
válaszol,Conditional past indefinite tense,válaszoltak volna,They would have answered,intermediate
válaszol,Conditional past definite tense,válaszoltam volna,I would have answered,intermediate
válaszol,Conditional past definite tense,válaszoltad volna,You would have answered,intermediate
válaszol,Conditional past definite tense,válaszolta volna,He would have answered,intermediate
válaszol,Conditional past definite tense,válaszoltuk volna,We would have answered,intermediate
válaszol,Conditional past definite tense,válaszoltátok volna,You all would have answered,intermediate
válaszol,Conditional past definite tense,válaszolták volna,They would have answered,intermediate
válaszol,Future indefinite tense,fogok válaszolni,I will answer,advanced
válaszol,Future indefinite tense,fogsz válaszolni,You will answer,advanced
válaszol,Future indefinite tense,fog válaszolni,He will answer,advanced
válaszol,Future indefinite tense,fogunk válaszolni,We will answer,advanced
válaszol,Future indefinite tense,fogtok válaszolni,You all will answer,advanced
válaszol,Future indefinite tense,fognak válaszolni,They will answer,advanced
válaszol,Future definite tense,fogom válaszolni,I will answer,advanced
válaszol,Future definite tense,fogod válaszolni,You will answer,advanced
válaszol,Future definite tense,fogja válaszolni,He will answer,advanced
válaszol,Future definite tense,fogjuk válaszolni,We will answer,advanced
válaszol,Future definite tense,fogjátok válaszolni,You all will answer,advanced
válaszol,Future definite tense,fogják válaszolni,They will answer,advanced
válaszol,Subjunctive present definite tense,válaszoljam,I answer,advanced
válaszol,Subjunctive present definite tense,válaszold,You answer,advanced
válaszol,Subjunctive present definite tense,válaszolja,He answers,advanced
válaszol,Subjunctive present definite tense,válaszoljuk,We answer,advanced
válaszol,Subjunctive present definite tense,válaszoljátok,You all answer,advanced
válaszol,Subjunctive present definite tense,válaszolják,They answer,advanced
válaszol,Subjunctive present indefinite tense,válaszoljak,I answer,advanced
válaszol,Subjunctive present indefinite tense,válaszolj,You answer,advanced
válaszol,Subjunctive present indefinite tense,válaszoljon,He answers,advanced
válaszol,Subjunctive present indefinite tense,válaszoljunk,We answer,advanced
válaszol,Subjunctive present indefinite tense,válaszoljatok,You all answer,advanced
válaszol,Subjunctive present indefinite tense,válaszoljanak,They answer,advanced
válaszol,Conjugated infinitives,válaszolnom,I answer,advanced
válaszol,Conjugated infinitives,válaszolnod,You answer,advanced
válaszol,Conjugated infinitives,válaszolnia,He answers,advanced
válaszol,Conjugated infinitives,válaszolnunk,We answer,advanced
válaszol,Conjugated infinitives,válaszolnotok,You all answer,advanced
válaszol,Conjugated infinitives,válaszolniuk,They answer,advanced
kérdez,Present indefinite tense,kérdezek,I ask,beginner
kérdez,Present indefinite tense,kérdezel,You ask,beginner
kérdez,Present indefinite tense,kérdez,He asks,beginner
kérdez,Present indefinite tense,kérdezünk,We ask,beginner
kérdez,Present indefinite tense,kérdeztek,You all ask,beginner
kérdez,Present indefinite tense,kérdeznek,They ask,beginner
kérdez,Present definite tense,kérdezem,I ask,beginner
kérdez,Present definite tense,kérdezed,You ask,beginner
kérdez,Present definite tense,kérdezi,He asks,beginner
kérdez,Present definite tense,kérdezzük,We ask,beginner
kérdez,Present definite tense,kérdezitek,You all ask,beginner
kérdez,Present definite tense,kérdezik,They ask,beginner
kérdez,Past indefinite tense,kérdeztem,I asked,intermediate
kérdez,Past indefinite tense,kérdeztél,You asked,intermediate
kérdez,Past indefinite tense,kérdezett,He asked,intermediate
kérdez,Past indefinite tense,kérdeztünk,We asked,intermediate
kérdez,Past indefinite tense,kérdeztetek,You all asked,intermediate
kérdez,Past indefinite tense,kérdeztek,They asked,intermediate
kérdez,Past definite tense,kérdeztem,I asked,intermediate
kérdez,Past definite tense,kérdezted,You asked,intermediate
kérdez,Past definite tense,kérdezte,He asked,intermediate
kérdez,Past definite tense,kérdeztük,We asked,intermediate
kérdez,Past definite tense,kérdeztétek,You all asked,intermediate
kérdez,Past definite tense,kérdezték,They asked,intermediate
kérdez,Conditional present indefinite tense,kérdeznék,I would ask,intermediate
kérdez,Conditional present indefinite tense,kérdeznél,You would ask,intermediate
kérdez,Conditional present indefinite tense,kérdezne,He would ask,intermediate
kérdez,Conditional present indefinite tense,kérdeznénk,We would ask,intermediate
kérdez,Conditional present indefinite tense,kérdeznétek,You all would ask,intermediate
kérdez,Conditional present indefinite tense,kérdeznének,They would ask,intermediate
kérdez,Conditional present definite tense,kérdezném,I would ask,intermediate
kérdez,Conditional present definite tense,kérdeznéd,You would ask,intermediate
kérdez,Conditional present definite tense,kérdezné,He would ask,intermediate
kérdez,Conditional present definite tense,kérdeznénk,We would ask,intermediate
kérdez,Conditional present definite tense,kérdeznétek,You all would ask,intermediate
kérdez,Conditional present definite tense,kérdeznék,They would ask,intermediate
kérdez,Conditional past indefinite tense,kérdeztem volna,I would have asked,intermediate
kérdez,Conditional past indefinite tense,kérdeztél volna,You would have asked,intermediate
kérdez,Conditional past indefinite tense,kérdezett volna,He would have asked,intermediate
kérdez,Conditional past indefinite tense,kérdeztünk volna,We would have asked,intermediate
kérdez,Conditional past indefinite tense,kérdeztetek volna,You all would have asked,intermediate
kérdez,Conditional past indefinite tense,kérdeztek volna,They would have asked,intermediate
kérdez,Conditional past definite tense,kérdeztem volna,I would have asked,intermediate
kérdez,Conditional past definite tense,kérdezted volna,You would have asked,intermediate
kérdez,Conditional past definite tense,kérdezte volna,He would have asked,intermediate
kérdez,Conditional past definite tense,kérdeztük volna,We would have asked,intermediate
kérdez,Conditional past definite tense,kérdeztétek volna,You all would have asked,intermediate
kérdez,Conditional past definite tense,kérdezték volna,They would have asked,intermediate
kérdez,Future indefinite tense,fogok kérdezni,I will ask,advanced
kérdez,Future indefinite tense,fogsz kérdezni,You will ask,advanced
kérdez,Future indefinite tense,fog kérdezni,He will ask,advanced
kérdez,Future indefinite tense,fogunk kérdezni,We will ask,advanced
kérdez,Future indefinite tense,fogtok kérdezni,You all will ask,advanced
kérdez,Future indefinite tense,fognak kérdezni,They will ask,advanced
kérdez,Future definite tense,fogom kérdezni,I will ask,advanced
kérdez,Future definite tense,fogod kérdezni,You will ask,advanced
kérdez,Future definite tense,fogja kérdezni,He will ask,advanced
kérdez,Future definite tense,fogjuk kérdezni,We will ask,advanced
kérdez,Future definite tense,fogjátok kérdezni,You all will ask,advanced
kérdez,Future definite tense,fogják kérdezni,They will ask,advanced
kérdez,Subjunctive present definite tense,kérdezzem,I ask,advanced
kérdez,Subjunctive present definite tense,kérdezd,You ask,advanced
kérdez,Subjunctive present definite tense,kérdezze,He asks,advanced
kérdez,Subjunctive present definite tense,kérdezzük,We ask,advanced
kérdez,Subjunctive present definite tense,kérdezzétek,You all ask,advanced
kérdez,Subjunctive present definite tense,kérdezzék,They ask,advanced
kérdez,Subjunctive present indefinite tense,kérdezzek,I ask,advanced
kérdez,Subjunctive present indefinite tense,kérdezz,You ask,advanced
kérdez,Subjunctive present indefinite tense,kérdezzen,He asks,advanced
kérdez,Subjunctive present indefinite tense,kérdezzünk,We ask,advanced
kérdez,Subjunctive present indefinite tense,kérdezzetek,You all ask,advanced
kérdez,Subjunctive present indefinite tense,kérdezzenek,They ask,advanced
kérdez,Conjugated infinitives,kérdeznem,I ask,advanced
kérdez,Conjugated infinitives,kérdezned,You ask,advanced
kérdez,Conjugated infinitives,kérdeznie,He asks,advanced
kérdez,Conjugated infinitives,kérdeznünk,We ask,advanced
kérdez,Conjugated infinitives,kérdeznetek,You all ask,advanced
kérdez,Conjugated infinitives,kérdezniük,They ask,advanced
len,Present indefinite tense,leszek,I become,beginner
len,Present indefinite tense,leszel,You become,beginner
len,Present indefinite tense,lesz,He becomes,beginner
len,Present indefinite tense,leszünk,We become,beginner
len,Present indefinite tense,lesztek,You all become,beginner
len,Present indefinite tense,lesznek,They become,beginner
len,Past indefinite tense,lettem,I became,intermediate
len,Past indefinite tense,lettél,You became,intermediate
len,Past indefinite tense,lett,He became,intermediate
len,Past indefinite tense,lettünk,We became,intermediate
len,Past indefinite tense,lettetek,You all became,intermediate
len,Past indefinite tense,lettek,They became,intermediate
len,Conditional present indefinite tense,lennék,I would become,intermediate
len,Conditional present indefinite tense,lennél,You would become,intermediate
len,Conditional present indefinite tense,lenne,He would become,intermediate
len,Conditional present indefinite tense,lennénk,We would become,intermediate
len,Conditional present indefinite tense,lennétek,You all would become,intermediate
len,Conditional present indefinite tense,lennének,They would become,intermediate
len,Conditional past indefinite tense,lettem volna,I would have became,intermediate
len,Conditional past indefinite tense,lettél volna,You would have became,intermediate
len,Conditional past indefinite tense,lett volna,He would have became,intermediate
len,Conditional past indefinite tense,lettünk volna,We would have became,intermediate
len,Conditional past indefinite tense,lettetek volna,You all would have became,intermediate
len,Conditional past indefinite tense,lettek volna,They would have became,intermediate
len,Future indefinite tense,fogok lenni,I will become,advanced
len,Future indefinite tense,fogsz lenni,You will become,advanced
len,Future indefinite tense,fog lenni,He will become,advanced
len,Future indefinite tense,fogunk lenni,We will become,advanced
len,Future indefinite tense,fogtok lenni,You all will become,advanced
len,Future indefinite tense,fognak lenni,They will become,advanced
len,Subjunctive present indefinite tense,legyek,I become,advanced
len,Subjunctive present indefinite tense,légy,You become,advanced
len,Subjunctive present indefinite tense,legyen,He becomes,advanced
len,Subjunctive present indefinite tense,legyünk,We become,advanced
len,Subjunctive present indefinite tense,legyetek,You all become,advanced
len,Subjunctive present indefinite tense,legyenek,They become,advanced
len,Conjugated infinitives,lennem,I become,advanced
len,Conjugated infinitives,lenned,You become,advanced
len,Conjugated infinitives,lennie,He becomes,advanced
len,Conjugated infinitives,lennünk,We become,advanced
len,Conjugated infinitives,lennetek,You all become,advanced
len,Conjugated infinitives,lenniük,They become,advanced
hin,Present indefinite tense,hiszek,I believe,beginner
hin,Present indefinite tense,hiszel,You believe,beginner
hin,Present indefinite tense,hisz,He believes,beginner
hin,Present indefinite tense,hiszünk,We believe,beginner
hin,Present indefinite tense,hisztek,You all believe,beginner
hin,Present indefinite tense,hisznek,They believe,beginner
hin,Present definite tense,hiszem,I believe,beginner
hin,Present definite tense,hiszed,You believe,beginner
hin,Present definite tense,hiszi,He believes,beginner
hin,Present definite tense,hisszük,We believe,beginner
hin,Present definite tense,hiszitek,You all believe,beginner
hin,Present definite tense,hiszik,They believe,beginner
hin,Past indefinite tense,hittem,I believeed,intermediate
hin,Past indefinite tense,hittél,You believeed,intermediate
hin,Past indefinite tense,hitt,He believeed,intermediate
hin,Past indefinite tense,hittünk,We believeed,intermediate
hin,Past indefinite tense,hittetek,You all believeed,intermediate
hin,Past indefinite tense,hittek,They believeed,intermediate
hin,Past definite tense,hittem,I believeed,intermediate
hin,Past definite tense,hitted,You believeed,intermediate
