Verb,Tense,Form,Translation,Difficulty
megenged,Conditional present definite tense,megengednék,megengednék,beginner
megenged,Conditional past indefinite tense,megengedtem volna,megengedtem volna,intermediate
megenged,Conditional past indefinite tense,megengedtél volna,megengedtél volna,intermediate
megenged,Conditional past indefinite tense,megengedett volna,megengedett volna,intermediate
megenged,Conditional past indefinite tense,megengedtünk volna,megengedtünk volna,intermediate
megenged,Conditional past indefinite tense,megengedtetek volna,megengedtetek volna,intermediate
megenged,Conditional past indefinite tense,megengedtek volna,megengedtek volna,intermediate
megenged,Conditional past definite tense,megengedtem volna,megengedtem volna,intermediate
megenged,Conditional past definite tense,megengedted volna,megengedted volna,intermediate
megenged,Conditional past definite tense,megengedte volna,megengedte volna,intermediate
megenged,Conditional past definite tense,megengedtük volna,megengedtük volna,intermediate
megenged,Conditional past definite tense,megengedtétek volna,megengedtétek volna,intermediate
megenged,Conditional past definite tense,megengedték volna,megengedték volna,intermediate
megenged,Future indefinite tense,fogok megengedni,fogok megengedni,advanced
megenged,Future indefinite tense,fogsz megengedni,fogsz megengedni,advanced
megenged,Future indefinite tense,fog megengedni,fog megengedni,advanced
megenged,Future indefinite tense,fogunk megengedni,fogunk megengedni,advanced
megenged,Future indefinite tense,fogtok megengedni,fogtok megengedni,advanced
megenged,Future indefinite tense,fognak megengedni,fognak megengedni,advanced
megenged,Future definite tense,fogom megengedni,fogom megengedni,advanced
megenged,Future definite tense,fogod megengedni,fogod megengedni,advanced
megenged,Future definite tense,fogja megengedni,fogja megengedni,advanced
megenged,Future definite tense,fogjuk megengedni,fogjuk megengedni,advanced
megenged,Future definite tense,fogjátok megengedni,fogjátok megengedni,advanced
megenged,Future definite tense,fogják megengedni,fogják megengedni,advanced
megenged,Subjunctive present definite tense,megengedjem,megengedjem,beginner
megenged,Subjunctive present definite tense,megengedd,megengedd,beginner
megenged,Subjunctive present definite tense,megengedje,megengedje,beginner
megenged,Subjunctive present definite tense,megengedjük,megengedjük,beginner
megenged,Subjunctive present definite tense,megengedjétek,megengedjétek,beginner
megenged,Subjunctive present definite tense,megengedjék,megengedjék,beginner
megenged,Subjunctive present indefinite tense,megengedjek,megengedjek,beginner
megenged,Subjunctive present indefinite tense,megengedj,megengedj,beginner
megenged,Subjunctive present indefinite tense,megengedjen,megengedjen,beginner
megenged,Subjunctive present indefinite tense,megengedjünk,megengedjünk,beginner
megenged,Subjunctive present indefinite tense,megengedjetek,megengedjetek,beginner
megenged,Subjunctive present indefinite tense,megengedjenek,megengedjenek,beginner
megenged,Conjugated infinitives,megengednem,megengednem,advanced
megenged,Conjugated infinitives,megengedned,megengedned,advanced
megenged,Conjugated infinitives,megengednie,megengednie,advanced
megenged,Conjugated infinitives,megengednünk,megengednünk,advanced
megenged,Conjugated infinitives,megengednetek,megengednetek,advanced
megenged,Conjugated infinitives,megengedniük,megengedniük,advanced
válaszol,Present indefinite tense,válaszolok,I válaszolok,beginner
válaszol,Present indefinite tense,válaszolsz,You (singular) válaszolsz,beginner
válaszol,Present indefinite tense,válaszol,válaszol,beginner
válaszol,Present indefinite tense,válaszolunk,We válaszolunk,beginner
válaszol,Present indefinite tense,válaszoltok,I válaszoltok,beginner
válaszol,Present indefinite tense,válaszolnak,They válaszolnak,beginner
válaszol,Present definite tense,válaszolom,I válaszolom,beginner
válaszol,Present definite tense,válaszolod,You válaszolod,beginner
válaszol,Present definite tense,válaszolja,He/She válaszolja,beginner
válaszol,Present definite tense,válaszoljuk,We válaszoljuk,beginner
válaszol,Present definite tense,válaszoljátok,I válaszoljátok,beginner
válaszol,Present definite tense,válaszolják,They válaszolják,beginner
válaszol,Past indefinite tense,válaszoltam,I válaszoltam,intermediate
válaszol,Past indefinite tense,válaszoltál,You válaszoltál,intermediate
válaszol,Past indefinite tense,válaszolt,válaszolt,intermediate
válaszol,Past indefinite tense,válaszoltunk,We válaszoltunk,intermediate
válaszol,Past indefinite tense,válaszoltatok,I válaszoltatok,intermediate
válaszol,Past indefinite tense,válaszoltak,They válaszoltak,intermediate
válaszol,Past definite tense,válaszoltam,I válaszoltam,intermediate
válaszol,Past definite tense,válaszoltad,válaszoltad,intermediate
válaszol,Past definite tense,válaszolta,válaszolta,intermediate
válaszol,Past definite tense,válaszoltuk,válaszoltuk,intermediate
válaszol,Past definite tense,válaszoltátok,I válaszoltátok,intermediate
válaszol,Past definite tense,válaszolták,válaszolták,intermediate
válaszol,Conditional present indefinite tense,válaszolnék,válaszolnék,beginner
válaszol,Conditional present indefinite tense,válaszolnál,válaszolnál,beginner
válaszol,Conditional present indefinite tense,válaszolna,válaszolna,beginner
válaszol,Conditional present indefinite tense,válaszolnánk,válaszolnánk,beginner
válaszol,Conditional present indefinite tense,válaszolnátok,I válaszolnátok,beginner
válaszol,Conditional present indefinite tense,válaszolnának,They válaszolnának,beginner
válaszol,Conditional present definite tense,válaszolnám,válaszolnám,beginner
válaszol,Conditional present definite tense,válaszolnád,válaszolnád,beginner
válaszol,Conditional present definite tense,válaszolná,válaszolná,beginner
válaszol,Conditional present definite tense,válaszolnánk,válaszolnánk,beginner
válaszol,Conditional present definite tense,válaszolnátok,I válaszolnátok,beginner
válaszol,Conditional present definite tense,válaszolnák,válaszolnák,beginner
válaszol,Conditional past indefinite tense,válaszoltam volna,válaszoltam volna,intermediate
válaszol,Conditional past indefinite tense,válaszoltál volna,válaszoltál volna,intermediate
válaszol,Conditional past indefinite tense,válaszolt volna,válaszolt volna,intermediate
válaszol,Conditional past indefinite tense,válaszoltunk volna,válaszoltunk volna,intermediate
válaszol,Conditional past indefinite tense,válaszoltatok volna,válaszoltatok volna,intermediate
válaszol,Conditional past indefinite tense,válaszoltak volna,válaszoltak volna,intermediate
válaszol,Conditional past definite tense,válaszoltam volna,válaszoltam volna,intermediate
válaszol,Conditional past definite tense,válaszoltad volna,válaszoltad volna,intermediate
válaszol,Conditional past definite tense,válaszolta volna,válaszolta volna,intermediate
válaszol,Conditional past definite tense,válaszoltuk volna,válaszoltuk volna,intermediate
válaszol,Conditional past definite tense,válaszoltátok volna,válaszoltátok volna,intermediate
válaszol,Conditional past definite tense,válaszolták volna,válaszolták volna,intermediate
válaszol,Future indefinite tense,fogok válaszolni,fogok válaszolni,advanced
válaszol,Future indefinite tense,fogsz válaszolni,fogsz válaszolni,advanced
válaszol,Future indefinite tense,fog válaszolni,fog válaszolni,advanced
válaszol,Future indefinite tense,fogunk válaszolni,fogunk válaszolni,advanced
válaszol,Future indefinite tense,fogtok válaszolni,fogtok válaszolni,advanced
válaszol,Future indefinite tense,fognak válaszolni,fognak válaszolni,advanced
válaszol,Future definite tense,fogom válaszolni,fogom válaszolni,advanced
válaszol,Future definite tense,fogod válaszolni,fogod válaszolni,advanced
válaszol,Future definite tense,fogja válaszolni,fogja válaszolni,advanced
válaszol,Future definite tense,fogjuk válaszolni,fogjuk válaszolni,advanced
válaszol,Future definite tense,fogjátok válaszolni,fogjátok válaszolni,advanced
válaszol,Future definite tense,fogják válaszolni,fogják válaszolni,advanced
válaszol,Subjunctive present definite tense,válaszoljam,válaszoljam,beginner
válaszol,Subjunctive present definite tense,válaszold,válaszold,beginner
válaszol,Subjunctive present definite tense,válaszolja,He/She válaszolja,beginner
válaszol,Subjunctive present definite tense,válaszoljuk,We válaszoljuk,beginner
válaszol,Subjunctive present definite tense,válaszoljátok,I válaszoljátok,beginner
válaszol,Subjunctive present definite tense,válaszolják,They válaszolják,beginner
válaszol,Subjunctive present indefinite tense,válaszoljak,válaszoljak,beginner
válaszol,Subjunctive present indefinite tense,válaszolj,válaszolj,beginner
válaszol,Subjunctive present indefinite tense,válaszoljon,válaszoljon,beginner
válaszol,Subjunctive present indefinite tense,válaszoljunk,We válaszoljunk,beginner
válaszol,Subjunctive present indefinite tense,válaszoljatok,I válaszoljatok,beginner
válaszol,Subjunctive present indefinite tense,válaszoljanak,They válaszoljanak,beginner
válaszol,Conjugated infinitives,válaszolnom,I válaszolnom,advanced
válaszol,Conjugated infinitives,válaszolnod,You válaszolnod,advanced
válaszol,Conjugated infinitives,válaszolnia,válaszolnia,advanced
válaszol,Conjugated infinitives,válaszolnunk,We válaszolnunk,advanced
válaszol,Conjugated infinitives,válaszolnotok,I válaszolnotok,advanced
válaszol,Conjugated infinitives,válaszolniuk,válaszolniuk,advanced
kérdez,Present indefinite tense,kérdezek,kérdezek,beginner
kérdez,Present indefinite tense,kérdezel,kérdezel,beginner
kérdez,Present indefinite tense,kérdez,kérdez,beginner
kérdez,Present indefinite tense,kérdezünk,kérdezünk,beginner
kérdez,Present indefinite tense,kérdeztek,kérdeztek,beginner
kérdez,Present indefinite tense,kérdeznek,kérdeznek,beginner
kérdez,Present definite tense,kérdezem,kérdezem,beginner
kérdez,Present definite tense,kérdezed,kérdezed,beginner
kérdez,Present definite tense,kérdezi,kérdezi,beginner
kérdez,Present definite tense,kérdezzük,kérdezzük,beginner
kérdez,Present definite tense,kérdezitek,kérdezitek,beginner
kérdez,Present definite tense,kérdezik,kérdezik,beginner
kérdez,Past indefinite tense,kérdeztem,kérdeztem,intermediate
kérdez,Past indefinite tense,kérdeztél,kérdeztél,intermediate
kérdez,Past indefinite tense,kérdezett,kérdezett,intermediate
kérdez,Past indefinite tense,kérdeztünk,kérdeztünk,intermediate
kérdez,Past indefinite tense,kérdeztetek,kérdeztetek,intermediate
kérdez,Past indefinite tense,kérdeztek,kérdeztek,intermediate
kérdez,Past definite tense,kérdeztem,kérdeztem,intermediate
kérdez,Past definite tense,kérdezted,kérdezted,intermediate
kérdez,Past definite tense,kérdezte,kérdezte,intermediate
kérdez,Past definite tense,kérdeztük,kérdeztük,intermediate
kérdez,Past definite tense,kérdeztétek,kérdeztétek,intermediate
kérdez,Past definite tense,kérdezték,kérdezték,intermediate
kérdez,Conditional present indefinite tense,kérdeznék,kérdeznék,beginner
kérdez,Conditional present indefinite tense,kérdeznél,kérdeznél,beginner
kérdez,Conditional present indefinite tense,kérdezne,kérdezne,beginner
kérdez,Conditional present indefinite tense,kérdeznénk,kérdeznénk,beginner
kérdez,Conditional present indefinite tense,kérdeznétek,kérdeznétek,beginner
kérdez,Conditional present indefinite tense,kérdeznének,kérdeznének,beginner
kérdez,Conditional present definite tense,kérdezném,kérdezném,beginner
kérdez,Conditional present definite tense,kérdeznéd,kérdeznéd,beginner
kérdez,Conditional present definite tense,kérdezné,kérdezné,beginner
kérdez,Conditional present definite tense,kérdeznénk,kérdeznénk,beginner
kérdez,Conditional present definite tense,kérdeznétek,kérdeznétek,beginner
kérdez,Conditional present definite tense,kérdeznék,kérdeznék,beginner
kérdez,Conditional past indefinite tense,kérdeztem volna,kérdeztem volna,intermediate
kérdez,Conditional past indefinite tense,kérdeztél volna,kérdeztél volna,intermediate
kérdez,Conditional past indefinite tense,kérdezett volna,kérdezett volna,intermediate
kérdez,Conditional past indefinite tense,kérdeztünk volna,kérdeztünk volna,intermediate
kérdez,Conditional past indefinite tense,kérdeztetek volna,kérdeztetek volna,intermediate
kérdez,Conditional past indefinite tense,kérdeztek volna,kérdeztek volna,intermediate
kérdez,Conditional past definite tense,kérdeztem volna,kérdeztem volna,intermediate
kérdez,Conditional past definite tense,kérdezted volna,kérdezted volna,intermediate
kérdez,Conditional past definite tense,kérdezte volna,kérdezte volna,intermediate
kérdez,Conditional past definite tense,kérdeztük volna,kérdeztük volna,intermediate
kérdez,Conditional past definite tense,kérdeztétek volna,kérdeztétek volna,intermediate
kérdez,Conditional past definite tense,kérdezték volna,kérdezték volna,intermediate
kérdez,Future indefinite tense,fogok kérdezni,fogok kérdezni,advanced
kérdez,Future indefinite tense,fogsz kérdezni,fogsz kérdezni,advanced
kérdez,Future indefinite tense,fog kérdezni,fog kérdezni,advanced
kérdez,Future indefinite tense,fogunk kérdezni,fogunk kérdezni,advanced
kérdez,Future indefinite tense,fogtok kérdezni,fogtok kérdezni,advanced
kérdez,Future indefinite tense,fognak kérdezni,fognak kérdezni,advanced
kérdez,Future definite tense,fogom kérdezni,fogom kérdezni,advanced
kérdez,Future definite tense,fogod kérdezni,fogod kérdezni,advanced
kérdez,Future definite tense,fogja kérdezni,fogja kérdezni,advanced
kérdez,Future definite tense,fogjuk kérdezni,fogjuk kérdezni,advanced
kérdez,Future definite tense,fogjátok kérdezni,fogjátok kérdezni,advanced
kérdez,Future definite tense,fogják kérdezni,fogják kérdezni,advanced
kérdez,Subjunctive present definite tense,kérdezzem,kérdezzem,beginner
kérdez,Subjunctive present definite tense,kérdezd,kérdezd,beginner
kérdez,Subjunctive present definite tense,kérdezze,kérdezze,beginner
kérdez,Subjunctive present definite tense,kérdezzük,kérdezzük,beginner
kérdez,Subjunctive present definite tense,kérdezzétek,kérdezzétek,beginner
kérdez,Subjunctive present definite tense,kérdezzék,kérdezzék,beginner
kérdez,Subjunctive present indefinite tense,kérdezzek,kérdezzek,beginner
kérdez,Subjunctive present indefinite tense,kérdezz,kérdezz,beginner
kérdez,Subjunctive present indefinite tense,kérdezzen,kérdezzen,beginner
kérdez,Subjunctive present indefinite tense,kérdezzünk,kérdezzünk,beginner
kérdez,Subjunctive present indefinite tense,kérdezzetek,kérdezzetek,beginner
kérdez,Subjunctive present indefinite tense,kérdezzenek,kérdezzenek,beginner
kérdez,Conjugated infinitives,kérdeznem,kérdeznem,advanced
kérdez,Conjugated infinitives,kérdezned,kérdezned,advanced
kérdez,Conjugated infinitives,kérdeznie,kérdeznie,advanced
kérdez,Conjugated infinitives,kérdeznünk,kérdeznünk,advanced
kérdez,Conjugated infinitives,kérdeznetek,kérdeznetek,advanced
kérdez,Conjugated infinitives,kérdezniük,kérdezniük,advanced
lesz,Present indefinite tense,leszek,leszek,beginner
lesz,Present indefinite tense,leszel,leszel,beginner
lesz,Present indefinite tense,lesz,You (singular) lesz,beginner
lesz,Present indefinite tense,leszünk,leszünk,beginner
lesz,Present indefinite tense,lesztek,lesztek,beginner
lesz,Present indefinite tense,lesznek,lesznek,beginner
lesz,Past indefinite tense,lettem,lettem,intermediate
lesz,Past indefinite tense,lettél,lettél,intermediate
lesz,Past indefinite tense,lett,lett,intermediate
lesz,Past indefinite tense,lettünk,lettünk,intermediate
lesz,Past indefinite tense,lettetek,lettetek,intermediate
lesz,Past indefinite tense,lettek,lettek,intermediate
lesz,Conditional present indefinite tense,lennék,lennék,beginner
lesz,Conditional present indefinite tense,lennél,lennél,beginner
