Verb,Tense,Form
hozzáad,Conditional past definite tense,hozzáadta volna
hozzáad,Conditional past definite tense,hozzáadtuk volna
hozzáad,Conditional past definite tense,hozzáadtátok volna
hozzáad,Conditional past definite tense,hozzáadták volna
hozzáad,Future indefinite tense,fogok hozzáadni
hozzáad,Future indefinite tense,fogsz hozzáadni
hozzáad,Future indefinite tense,fog hozzáadni
hozzáad,Future indefinite tense,fogunk hozzáadni
hozzáad,Future indefinite tense,fogtok hozzáadni
hozzáad,Future indefinite tense,fognak hozzáadni
hozzáad,Future definite tense,fogom hozzáadni
hozzáad,Future definite tense,fogod hozzáadni
hozzáad,Future definite tense,fogja hozzáadni
hozzáad,Future definite tense,fogjuk hozzáadni
hozzáad,Future definite tense,fogjátok hozzáadni
hozzáad,Future definite tense,fogják hozzáadni
hozzáad,Subjunctive present definite tense,hozzáadjam
hozzáad,Subjunctive present definite tense,hozzáadd
hozzáad,Subjunctive present definite tense,hozzáadja
hozzáad,Subjunctive present definite tense,hozzáadjuk
hozzáad,Subjunctive present definite tense,hozzáadjátok
hozzáad,Subjunctive present definite tense,hozzáadják
hozzáad,Subjunctive present indefinite tense,hozzáadjak
hozzáad,Subjunctive present indefinite tense,hozzáadj
hozzáad,Subjunctive present indefinite tense,hozzáadjon
hozzáad,Subjunctive present indefinite tense,hozzáadjunk
hozzáad,Subjunctive present indefinite tense,hozzáadjatok
hozzáad,Subjunctive present indefinite tense,hozzáadjanak
hozzáad,Conjugated infinitives,hozzáadnom
hozzáad,Conjugated infinitives,hozzáadnod
hozzáad,Conjugated infinitives,hozzáadnia
hozzáad,Conjugated infinitives,hozzáadnunk
hozzáad,Conjugated infinitives,hozzáadnotok
hozzáad,Conjugated infinitives,hozzáadniuk
megenged,Present indefinite tense,megengedek
megenged,Present indefinite tense,megengedsz
megenged,Present indefinite tense,megenged
megenged,Present indefinite tense,megengedünk
megenged,Present indefinite tense,megengedtek
megenged,Present indefinite tense,megengednek
megenged,Present definite tense,megengedem
megenged,Present definite tense,megengeded
megenged,Present definite tense,megengedi
megenged,Present definite tense,megengedjük
megenged,Present definite tense,megengeditek
megenged,Present definite tense,megengedik
megenged,Past indefinite tense,megengedtem
megenged,Past indefinite tense,megengedtél
megenged,Past indefinite tense,megengedett
megenged,Past indefinite tense,megengedtünk
megenged,Past indefinite tense,megengedtetek
megenged,Past indefinite tense,megengedtek
megenged,Past definite tense,megengedtem
megenged,Past definite tense,megengedted
megenged,Past definite tense,megengedte
megenged,Past definite tense,megengedtük
megenged,Past definite tense,megengedtétek
megenged,Past definite tense,megengedték
megenged,Conditional present indefinite tense,megengednék
megenged,Conditional present indefinite tense,megengednél
megenged,Conditional present indefinite tense,megengedne
megenged,Conditional present indefinite tense,megengednénk
megenged,Conditional present indefinite tense,megengednétek
megenged,Conditional present indefinite tense,megengednének
megenged,Conditional present definite tense,megengedném
megenged,Conditional present definite tense,megengednéd
megenged,Conditional present definite tense,megengedné
megenged,Conditional present definite tense,megengednénk
megenged,Conditional present definite tense,megengednétek
megenged,Conditional present definite tense,megengednék
megenged,Conditional past indefinite tense,megengedtem volna
megenged,Conditional past indefinite tense,megengedtél volna
megenged,Conditional past indefinite tense,megengedett volna
megenged,Conditional past indefinite tense,megengedtünk volna
megenged,Conditional past indefinite tense,megengedtetek volna
megenged,Conditional past indefinite tense,megengedtek volna
megenged,Conditional past definite tense,megengedtem volna
megenged,Conditional past definite tense,megengedted volna
megenged,Conditional past definite tense,megengedte volna
megenged,Conditional past definite tense,megengedtük volna
megenged,Conditional past definite tense,megengedtétek volna
megenged,Conditional past definite tense,megengedték volna
megenged,Future indefinite tense,fogok megengedni
megenged,Future indefinite tense,fogsz megengedni
megenged,Future indefinite tense,fog megengedni
megenged,Future indefinite tense,fogunk megengedni
megenged,Future indefinite tense,fogtok megengedni
megenged,Future indefinite tense,fognak megengedni
megenged,Future definite tense,fogom megengedni
megenged,Future definite tense,fogod megengedni
megenged,Future definite tense,fogja megengedni
megenged,Future definite tense,fogjuk megengedni
megenged,Future definite tense,fogjátok megengedni
megenged,Future definite tense,fogják megengedni
megenged,Subjunctive present definite tense,megengedjem
megenged,Subjunctive present definite tense,megengedd
megenged,Subjunctive present definite tense,megengedje
megenged,Subjunctive present definite tense,megengedjük
megenged,Subjunctive present definite tense,megengedjétek
megenged,Subjunctive present definite tense,megengedjék
megenged,Subjunctive present indefinite tense,megengedjek
megenged,Subjunctive present indefinite tense,megengedj
megenged,Subjunctive present indefinite tense,megengedjen
megenged,Subjunctive present indefinite tense,megengedjünk
megenged,Subjunctive present indefinite tense,megengedjetek
megenged,Subjunctive present indefinite tense,megengedjenek
megenged,Conjugated infinitives,megengednem
megenged,Conjugated infinitives,megengedned
megenged,Conjugated infinitives,megengednie
megenged,Conjugated infinitives,megengednünk
megenged,Conjugated infinitives,megengednetek
megenged,Conjugated infinitives,megengedniük
válaszol,Present indefinite tense,válaszolok
válaszol,Present indefinite tense,válaszolsz
válaszol,Present indefinite tense,válaszol
válaszol,Present indefinite tense,válaszolunk
válaszol,Present indefinite tense,válaszoltok
válaszol,Present indefinite tense,válaszolnak
válaszol,Present definite tense,válaszolom
válaszol,Present definite tense,válaszolod
válaszol,Present definite tense,válaszolja
válaszol,Present definite tense,válaszoljuk
válaszol,Present definite tense,válaszoljátok
válaszol,Present definite tense,válaszolják
válaszol,Past indefinite tense,válaszoltam
válaszol,Past indefinite tense,válaszoltál
válaszol,Past indefinite tense,válaszolt
válaszol,Past indefinite tense,válaszoltunk
válaszol,Past indefinite tense,válaszoltatok
válaszol,Past indefinite tense,válaszoltak
válaszol,Past definite tense,válaszoltam
válaszol,Past definite tense,válaszoltad
válaszol,Past definite tense,válaszolta
válaszol,Past definite tense,válaszoltuk
válaszol,Past definite tense,válaszoltátok
válaszol,Past definite tense,válaszolták
válaszol,Conditional present indefinite tense,válaszolnék
válaszol,Conditional present indefinite tense,válaszolnál
válaszol,Conditional present indefinite tense,válaszolna
válaszol,Conditional present indefinite tense,válaszolnánk
válaszol,Conditional present indefinite tense,válaszolnátok
válaszol,Conditional present indefinite tense,válaszolnának
válaszol,Conditional present definite tense,válaszolnám
válaszol,Conditional present definite tense,válaszolnád
válaszol,Conditional present definite tense,válaszolná
válaszol,Conditional present definite tense,válaszolnánk
válaszol,Conditional present definite tense,válaszolnátok
válaszol,Conditional present definite tense,válaszolnák
válaszol,Conditional past indefinite tense,válaszoltam volna
válaszol,Conditional past indefinite tense,válaszoltál volna
válaszol,Conditional past indefinite tense,válaszolt volna
válaszol,Conditional past indefinite tense,válaszoltunk volna
válaszol,Conditional past indefinite tense,válaszoltatok volna
válaszol,Conditional past indefinite tense,válaszoltak volna
válaszol,Conditional past definite tense,válaszoltam volna
válaszol,Conditional past definite tense,válaszoltad volna
válaszol,Conditional past definite tense,válaszolta volna
válaszol,Conditional past definite tense,válaszoltuk volna
válaszol,Conditional past definite tense,válaszoltátok volna
válaszol,Conditional past definite tense,válaszolták volna
válaszol,Future indefinite tense,fogok válaszolni
válaszol,Future indefinite tense,fogsz válaszolni
válaszol,Future indefinite tense,fog válaszolni
válaszol,Future indefinite tense,fogunk válaszolni
válaszol,Future indefinite tense,fogtok válaszolni
válaszol,Future indefinite tense,fognak válaszolni
válaszol,Future definite tense,fogom válaszolni
válaszol,Future definite tense,fogod válaszolni
válaszol,Future definite tense,fogja válaszolni
válaszol,Future definite tense,fogjuk válaszolni
válaszol,Future definite tense,fogjátok válaszolni
válaszol,Future definite tense,fogják válaszolni
válaszol,Subjunctive present definite tense,válaszoljam
válaszol,Subjunctive present definite tense,válaszold
válaszol,Subjunctive present definite tense,válaszolja
válaszol,Subjunctive present definite tense,válaszoljuk
válaszol,Subjunctive present definite tense,válaszoljátok
válaszol,Subjunctive present definite tense,válaszolják
válaszol,Subjunctive present indefinite tense,válaszoljak
válaszol,Subjunctive present indefinite tense,válaszolj
válaszol,Subjunctive present indefinite tense,válaszoljon
válaszol,Subjunctive present indefinite tense,válaszoljunk
válaszol,Subjunctive present indefinite tense,válaszoljatok
válaszol,Subjunctive present indefinite tense,válaszoljanak
válaszol,Conjugated infinitives,válaszolnom
válaszol,Conjugated infinitives,válaszolnod
válaszol,Conjugated infinitives,válaszolnia
válaszol,Conjugated infinitives,válaszolnunk
válaszol,Conjugated infinitives,válaszolnotok
válaszol,Conjugated infinitives,válaszolniuk
kérdez,Present indefinite tense,kérdezek
kérdez,Present indefinite tense,kérdezel
kérdez,Present indefinite tense,kérdez
kérdez,Present indefinite tense,kérdezünk
kérdez,Present indefinite tense,kérdeztek
kérdez,Present indefinite tense,kérdeznek
kérdez,Present definite tense,kérdezem
kérdez,Present definite tense,kérdezed
kérdez,Present definite tense,kérdezi
kérdez,Present definite tense,kérdezzük
kérdez,Present definite tense,kérdezitek
kérdez,Present definite tense,kérdezik
kérdez,Past indefinite tense,kérdeztem
kérdez,Past indefinite tense,kérdeztél
kérdez,Past indefinite tense,kérdezett
kérdez,Past indefinite tense,kérdeztünk
kérdez,Past indefinite tense,kérdeztetek
kérdez,Past indefinite tense,kérdeztek
kérdez,Past definite tense,kérdeztem
kérdez,Past definite tense,kérdezted
kérdez,Past definite tense,kérdezte
kérdez,Past definite tense,kérdeztük
kérdez,Past definite tense,kérdeztétek
kérdez,Past definite tense,kérdezték
kérdez,Conditional present indefinite tense,kérdeznék
kérdez,Conditional present indefinite tense,kérdeznél
kérdez,Conditional present indefinite tense,kérdezne
kérdez,Conditional present indefinite tense,kérdeznénk
kérdez,Conditional present indefinite tense,kérdeznétek
kérdez,Conditional present indefinite tense,kérdeznének
kérdez,Conditional present definite tense,kérdezném
kérdez,Conditional present definite tense,kérdeznéd
kérdez,Conditional present definite tense,kérdezné
kérdez,Conditional present definite tense,kérdeznénk
kérdez,Conditional present definite tense,kérdeznétek
kérdez,Conditional present definite tense,kérdeznék
kérdez,Conditional past indefinite tense,kérdeztem volna
kérdez,Conditional past indefinite tense,kérdeztél volna
kérdez,Conditional past indefinite tense,kérdezett volna
kérdez,Conditional past indefinite tense,kérdeztünk volna
kérdez,Conditional past indefinite tense,kérdeztetek volna
kérdez,Conditional past indefinite tense,kérdeztek volna
kérdez,Conditional past definite tense,kérdeztem volna
kérdez,Conditional past definite tense,kérdezted volna
kérdez,Conditional past definite tense,kérdezte volna
kérdez,Conditional past definite tense,kérdeztük volna
kérdez,Conditional past definite tense,kérdeztétek volna
kérdez,Conditional past definite tense,kérdezték volna
kérdez,Future indefinite tense,fogok kérdezni
kérdez,Future indefinite tense,fogsz kérdezni
kérdez,Future indefinite tense,fog kérdezni
kérdez,Future indefinite tense,fogunk kérdezni
kérdez,Future indefinite tense,fogtok kérdezni
kérdez,Future indefinite tense,fognak kérdezni
kérdez,Future definite tense,fogom kérdezni
kérdez,Future definite tense,fogod kérdezni
kérdez,Future definite tense,fogja kérdezni
kérdez,Future definite tense,fogjuk kérdezni
kérdez,Future definite tense,fogjátok kérdezni
kérdez,Future definite tense,fogják kérdezni
kérdez,Subjunctive present definite tense,kérdezzem
kérdez,Subjunctive present definite tense,kérdezd
kérdez,Subjunctive present definite tense,kérdezze
kérdez,Subjunctive present definite tense,kérdezzük
kérdez,Subjunctive present definite tense,kérdezzétek
kérdez,Subjunctive present definite tense,kérdezzék
kérdez,Subjunctive present indefinite tense,kérdezzek
kérdez,Subjunctive present indefinite tense,kérdezz
kérdez,Subjunctive present indefinite tense,kérdezzen
kérdez,Subjunctive present indefinite tense,kérdezzünk
kérdez,Subjunctive present indefinite tense,kérdezzetek
kérdez,Subjunctive present indefinite tense,kérdezzenek
kérdez,Conjugated infinitives,kérdeznem
kérdez,Conjugated infinitives,kérdezned
kérdez,Conjugated infinitives,kérdeznie
kérdez,Conjugated infinitives,kérdeznünk
kérdez,Conjugated infinitives,kérdeznetek
kérdez,Conjugated infinitives,kérdezniük
lesz,Present indefinite tense,leszek
lesz,Present indefinite tense,leszel
lesz,Present indefinite tense,lesz
lesz,Present indefinite tense,leszünk
lesz,Present indefinite tense,lesztek
lesz,Present indefinite tense,lesznek
lesz,Past indefinite tense,lettem
lesz,Past indefinite tense,lettél
lesz,Past indefinite tense,lett
lesz,Past indefinite tense,lettünk
lesz,Past indefinite tense,lettetek
lesz,Past indefinite tense,lettek
lesz,Conditional present indefinite tense,lennék
lesz,Conditional present indefinite tense,lennél
lesz,Conditional present indefinite tense,lenne
lesz,Conditional present indefinite tense,lennénk
lesz,Conditional present indefinite tense,lennétek
lesz,Conditional present indefinite tense,lennének
lesz,Conditional past indefinite tense,lettem volna
lesz,Conditional past indefinite tense,lettél volna
lesz,Conditional past indefinite tense,lett volna
lesz,Conditional past indefinite tense,lettünk volna
lesz,Conditional past indefinite tense,lettetek volna
lesz,Conditional past indefinite tense,lettek volna
lesz,Future indefinite tense,fogok lenni
lesz,Future indefinite tense,fogsz lenni
lesz,Future indefinite tense,fog lenni
lesz,Future indefinite tense,fogunk lenni
lesz,Future indefinite tense,fogtok lenni
lesz,Future indefinite tense,fognak lenni
lesz,Subjunctive present indefinite tense,legyek
lesz,Subjunctive present indefinite tense,légy
lesz,Subjunctive present indefinite tense,legyen
lesz,Subjunctive present indefinite tense,legyünk
lesz,Subjunctive present indefinite tense,legyetek
lesz,Subjunctive present indefinite tense,legyenek
lesz,Conjugated infinitives,lennem
lesz,Conjugated infinitives,lenned
lesz,Conjugated infinitives,lennie
lesz,Conjugated infinitives,lennünk
lesz,Conjugated infinitives,lennetek
lesz,Conjugated infinitives,lenniük
hisz,Present indefinite tense,hiszek
hisz,Present indefinite tense,hiszel
hisz,Present indefinite tense,hisz
hisz,Present indefinite tense,hiszünk
hisz,Present indefinite tense,hisztek
hisz,Present indefinite tense,hisznek
hisz,Present definite tense,hiszem
hisz,Present definite tense,hiszed
hisz,Present definite tense,hiszi
hisz,Present definite tense,hisszük
hisz,Present definite tense,hiszitek
hisz,Present definite tense,hiszik
hisz,Past indefinite tense,hittem
hisz,Past indefinite tense,hittél
hisz,Past indefinite tense,hitt
hisz,Past indefinite tense,hittünk
hisz,Past indefinite tense,hittetek
hisz,Past indefinite tense,hittek
hisz,Past definite tense,hittem
hisz,Past definite tense,hitted
hisz,Past definite tense,hitte
hisz,Past definite tense,hittük
hisz,Past definite tense,hittétek
hisz,Past definite tense,hitték
hisz,Conditional present indefinite tense,hinnék
hisz,Conditional present indefinite tense,hinnél
hisz,Conditional present indefinite tense,hinne
hisz,Conditional present indefinite tense,hinnénk
hisz,Conditional present indefinite tense,hinnétek
hisz,Conditional present indefinite tense,hinnének
hisz,Conditional present definite tense,hinném
hisz,Conditional present definite tense,hinnéd
hisz,Conditional present definite tense,hinné
hisz,Conditional present definite tense,hinnénk
hisz,Conditional present definite tense,hinnétek
hisz,Conditional present definite tense,hinnék
hisz,Conditional past indefinite tense,hittem volna
hisz,Conditional past indefinite tense,hittél volna
hisz,Conditional past indefinite tense,hitt volna
hisz,Conditional past indefinite tense,hittünk volna
hisz,Conditional past indefinite tense,hittetek volna
hisz,Conditional past indefinite tense,hittek volna
hisz,Conditional past definite tense,hittem volna
hisz,Conditional past definite tense,hitted volna
hisz,Conditional past definite tense,hitte volna
hisz,Conditional past definite tense,hittük volna
hisz,Conditional past definite tense,hittétek volna
hisz,Conditional past definite tense,hitték volna
hisz,Future indefinite tense,fogok hinni
hisz,Future indefinite tense,fogsz hinni
hisz,Future indefinite tense,fog hinni
hisz,Future indefinite tense,fogunk hinni
hisz,Future indefinite tense,fogtok hinni
hisz,Future indefinite tense,fognak hinni
hisz,Future definite tense,fogom hinni
hisz,Future definite tense,fogod hinni
hisz,Future definite tense,fogja hinni
hisz,Future definite tense,fogjuk hinni
hisz,Future definite tense,fogjátok hinni
hisz,Future definite tense,fogják hinni
hisz,Subjunctive present definite tense,higgyem
hisz,Subjunctive present definite tense,hidd
hisz,Subjunctive present definite tense,higgye
hisz,Subjunctive present definite tense,higgyük
hisz,Subjunctive present definite tense,higgyétek
hisz,Subjunctive present definite tense,higgyék
hisz,Subjunctive present indefinite tense,higgyek
hisz,Subjunctive present indefinite tense,higgy
hisz,Subjunctive present indefinite tense,higgyen
hisz,Subjunctive present indefinite tense,higgyünk
hisz,Subjunctive present indefinite tense,higgyetek
hisz,Subjunctive present indefinite tense,higgyenek
hisz,Conjugated infinitives,hinnem
hisz,Conjugated infinitives,hinned
hisz,Conjugated infinitives,hinnie
hisz,Conjugated infinitives,hinnünk
hisz,Conjugated infinitives,hinnetek
hisz,Conjugated infinitives,hinniük
tör,Present indefinite tense,török
tör,Present indefinite tense,törsz
tör,Present indefinite tense,tör
tör,Present indefinite tense,törünk
tör,Present indefinite tense,törtök
tör,Present indefinite tense,törnek
tör,Present definite tense,töröm
tör,Present definite tense,töröd
tör,Present definite tense,töri
tör,Present definite tense,törjük
tör,Present definite tense,töritek
tör,Present definite tense,törik
tör,Past indefinite tense,törtem
tör,Past indefinite tense,törtél
tör,Past indefinite tense,tört
tör,Past indefinite tense,törtünk
tör,Past indefinite tense,törtetek
tör,Past indefinite tense,törtek
tör,Past definite tense,törtem
tör,Past definite tense,törted
tör,Past definite tense,törte
tör,Past definite tense,törtük
tör,Past definite tense,törtétek
tör,Past definite tense,törték
tör,Conditional present indefinite tense,törnék
tör,Conditional present indefinite tense,törnél
tör,Conditional present indefinite tense,törne
tör,Conditional present indefinite tense,törnénk
tör,Conditional present indefinite tense,törnétek
tör,Conditional present indefinite tense,törnének
tör,Conditional present definite tense,törném
tör,Conditional present definite tense,törnéd
tör,Conditional present definite tense,törné
tör,Conditional present definite tense,törnénk
tör,Conditional present definite tense,törnétek
tör,Conditional present definite tense,törnék
tör,Conditional past indefinite tense,törtem volna
tör,Conditional past indefinite tense,törtél volna
tör,Conditional past indefinite tense,tört volna
tör,Conditional past indefinite tense,törtünk volna
tör,Conditional past indefinite tense,törtetek volna
tör,Conditional past indefinite tense,törtek volna
tör,Conditional past definite tense,törtem volna
tör,Conditional past definite tense,törted volna
tör,Conditional past definite tense,törte volna
tör,Conditional past definite tense,törtük volna
tör,Conditional past definite tense,törtétek volna
tör,Conditional past definite tense,törték volna
tör,Future indefinite tense,fogok törni
tör,Future indefinite tense,fogsz törni
tör,Future indefinite tense,fog törni
tör,Future indefinite tense,fogunk törni
tör,Future indefinite tense,fogtok törni
tör,Future indefinite tense,fognak törni
tör,Future definite tense,fogom törni
tör,Future definite tense,fogod törni
tör,Future definite tense,fogja törni
tör,Future definite tense,fogjuk törni
tör,Future definite tense,fogjátok törni
tör,Future definite tense,fogják törni
tör,Subjunctive present definite tense,törjem
tör,Subjunctive present definite tense,törd
tör,Subjunctive present definite tense,törje
tör,Subjunctive present definite tense,törjük
tör,Subjunctive present definite tense,törjétek
tör,Subjunctive present definite tense,törjék
tör,Subjunctive present indefinite tense,törjek
tör,Subjunctive present indefinite tense,törj
tör,Subjunctive present indefinite tense,törjön
tör,Subjunctive present indefinite tense,törjünk
tör,Subjunctive present indefinite tense,törjetek
tör,Subjunctive present indefinite tense,törjenek
tör,Conjugated infinitives,törnöm
tör,Conjugated infinitives,törnöd
tör,Conjugated infinitives,törnie
tör,Conjugated infinitives,törnünk
tör,Conjugated infinitives,törnötök
tör,Conjugated infinitives,törniük
hoz,Present indefinite tense,hozok
hoz,Present indefinite tense,hozol
hoz,Present indefinite tense,hoz
hoz,Present indefinite tense,hozunk
hoz,Present indefinite tense,hoztok
hoz,Present indefinite tense,hoznak
hoz,Present definite tense,hozom
hoz,Present definite tense,hozod
hoz,Present definite tense,hozza
hoz,Present definite tense,hozzuk
hoz,Present definite tense,hozzátok
hoz,Present definite tense,hozzák
hoz,Past indefinite tense,hoztam
hoz,Past indefinite tense,hoztál
hoz,Past indefinite tense,hozott
hoz,Past indefinite tense,hoztunk
hoz,Past indefinite tense,hoztatok
hoz,Past indefinite tense,hoztak
hoz,Past definite tense,hoztam
hoz,Past definite tense,hoztad
hoz,Past definite tense,hozta
hoz,Past definite tense,hoztuk
hoz,Past definite tense,hoztátok
hoz,Past definite tense,hozták
hoz,Conditional present indefinite tense,hoznék
hoz,Conditional present indefinite tense,hoznál
hoz,Conditional present indefinite tense,hozna
hoz,Conditional present indefinite tense,hoznánk
hoz,Conditional present indefinite tense,hoznátok
hoz,Conditional present indefinite tense,hoznának
hoz,Conditional present definite tense,hoznám
hoz,Conditional present definite tense,hoznád
hoz,Conditional present definite tense,hozná
hoz,Conditional present definite tense,hoznánk
hoz,Conditional present definite tense,hoznátok
hoz,Conditional present definite tense,hoznák
hoz,Conditional past indefinite tense,hoztam volna
hoz,Conditional past indefinite tense,hoztál volna
hoz,Conditional past indefinite tense,hozott volna
hoz,Conditional past indefinite tense,hoztunk volna
hoz,Conditional past indefinite tense,hoztatok volna
hoz,Conditional past indefinite tense,hoztak volna
hoz,Conditional past definite tense,hoztam volna
hoz,Conditional past definite tense,hoztad volna
hoz,Conditional past definite tense,hozta volna
hoz,Conditional past definite tense,hoztuk volna
hoz,Conditional past definite tense,hoztátok volna
hoz,Conditional past definite tense,hozták volna
hoz,Future indefinite tense,fogok hozni
hoz,Future indefinite tense,fogsz hozni
hoz,Future indefinite tense,fog hozni
hoz,Future indefinite tense,fogunk hozni
hoz,Future indefinite tense,fogtok hozni
hoz,Future indefinite tense,fognak hozni
hoz,Future definite tense,fogom hozni
hoz,Future definite tense,fogod hozni
hoz,Future definite tense,fogja hozni
hoz,Future definite tense,fogjuk hozni
hoz,Future definite tense,fogjátok hozni
hoz,Future definite tense,fogják hozni
hoz,Subjunctive present definite tense,hozzam
hoz,Subjunctive present definite tense,hozd
hoz,Subjunctive present definite tense,hozza
hoz,Subjunctive present definite tense,hozzuk
hoz,Subjunctive present definite tense,hozzátok
hoz,Subjunctive present definite tense,hozzák
hoz,Subjunctive present indefinite tense,hozzak
hoz,Subjunctive present indefinite tense,hozz
hoz,Subjunctive present indefinite tense,hozzon
hoz,Subjunctive present indefinite tense,hozzunk
hoz,Subjunctive present indefinite tense,hozzatok
hoz,Subjunctive present indefinite tense,hozzanak
hoz,Conjugated infinitives,hoznom
hoz,Conjugated infinitives,hoznod
hoz,Conjugated infinitives,hoznia
hoz,Conjugated infinitives,hoznunk
